cx,cy,cz,fragment,phase,grain
0.005,0.007,0.002,0,0,0
0.006,0.005,0.003,0,0,0
0.005,0.006,0.003,0,0,0
0.011,0.006,0.001,0,0,0
0.011,0.005,0.002,0,0,0
0.01,0.007,0.001,0,0,0
0.009,0.007,0.002,0,0,0
0.01,0.005,0.003,0,0,0
0.009,0.006,0.003,0,0,0
0.015,0.006,0.001,0,0,0
0.015,0.005,0.002,0,0,0
0.014,0.007,0.001,0,0,0
0.013,0.007,0.002,0,0,0
0.014,0.005,0.003,0,0,0
0.013,0.006,0.003,0,0,0
0.019,0.006,0.001,0,0,0
0.019,0.005,0.002,0,0,0
0.018,0.007,0.001,0,0,0
0.017,0.007,0.002,0,0,0
0.018,0.005,0.003,0,0,0
0.017,0.006,0.003,0,0,0
0.023,0.006,0.001,0,0,0
0.023,0.005,0.002,0,0,0
0.022,0.007,0.001,0,0,0
0.021,0.007,0.002,0,0,0
0.022,0.005,0.003,0,0,0
0.021,0.006,0.003,0,0,0
0.027,0.006,0.001,0,0,0
0.027,0.005,0.002,0,0,0
0.026,0.007,0.001,0,0,0
0.025,0.007,0.002,0,0,0
0.026,0.005,0.003,0,0,0
0.025,0.006,0.003,0,0,0
0.031,0.006,0.001,0,0,0
0.031,0.005,0.002,0,0,0
0.03,0.007,0.001,0,0,0
0.029,0.007,0.002,0,0,0
0.03,0.005,0.003,0,0,0
0.029,0.006,0.003,0,0,0
0.035,0.006,0.001,0,0,0
0.035,0.005,0.002,0,0,0
0.034,0.007,0.001,0,0,0
0.033,0.007,0.002,0,0,0
0.034,0.005,0.003,0,0,0
0.033,0.006,0.003,0,0,0
0.039,0.006,0.001,0,0,0
0.039,0.005,0.002,0,0,0
0.038,0.007,0.001,0,0,0
0.037,0.007,0.002,0,0,0
0.038,0.005,0.003,0,0,0
0.037,0.006,0.003,0,0,0
0.003,0.01,0.001,0,0,0
0.003,0.009,0.002,0,0,0
0.002,0.011,0.001,0,0,0
0.001,0.011,0.002,0,0,0
0.002,0.009,0.003,0,0,0
0.001,0.01,0.003,0,0,0
0.007,0.01,0.001,0,0,0
0.007,0.009,0.002,0,0,0
0.006,0.011,0.001,0,0,0
0.005,0.011,0.002,0,0,0
0.006,0.009,0.003,0,0,0
0.005,0.01,0.003,0,0,0
0.011,0.01,0.001,0,0,0
0.011,0.009,0.002,0,0,0
0.01,0.011,0.001,0,0,0
0.009,0.011,0.002,0,0,0
0.01,0.009,0.003,0,0,0
0.009,0.01,0.003,0,0,0
0.015,0.01,0.001,0,0,0
0.015,0.009,0.002,0,0,0
0.014,0.011,0.001,0,0,0
0.013,0.011,0.002,0,0,0
0.014,0.009,0.003,0,0,0
0.013,0.01,0.003,0,0,0
0.019,0.01,0.001,0,0,0
0.019,0.009,0.002,0,0,0
0.018,0.011,0.001,0,0,0
0.017,0.011,0.002,0,0,0
0.018,0.009,0.003,0,0,0
0.017,0.01,0.003,0,0,0
0.023,0.01,0.001,0,0,0
0.023,0.009,0.002,0,0,0
0.022,0.011,0.001,0,0,0
0.021,0.011,0.002,0,0,0
0.022,0.009,0.003,0,0,0
0.021,0.01,0.003,0,0,0
0.027,0.01,0.001,0,0,0
0.027,0.009,0.002,0,0,0
0.026,0.011,0.001,0,0,0
0.025,0.011,0.002,0,0,0
0.026,0.009,0.003,0,0,0
0.025,0.01,0.003,0,0,0
0.031,0.01,0.001,0,0,0
0.031,0.009,0.002,0,0,0
0.03,0.011,0.001,0,0,0
0.029,0.011,0.002,0,0,0
0.03,0.009,0.003,0,0,0
0.029,0.01,0.003,0,0,0
0.035,0.01,0.001,0,0,0
0.035,0.009,0.002,0,0,0
0.034,0.011,0.001,0,0,0
0.033,0.011,0.002,0,0,0
0.034,0.009,0.003,0,0,0
0.033,0.01,0.003,0,0,0
0.039,0.01,0.001,0,0,0
0.039,0.009,0.002,0,0,0
0.038,0.011,0.001,0,0,0
0.037,0.011,0.002,0,0,0
0.038,0.009,0.003,0,0,0
0.037,0.01,0.003,0,0,0
0.003,0.014,0.001,0,0,0
0.003,0.013,0.002,0,0,0
0.002,0.015,0.001,0,0,0
0.001,0.015,0.002,0,0,0
0.002,0.013,0.003,0,0,0
0.001,0.014,0.003,0,0,0
0.007,0.014,0.001,0,0,0
0.007,0.013,0.002,0,0,0
0.006,0.015,0.001,0,0,0
0.005,0.015,0.002,0,0,0
0.006,0.013,0.003,0,0,0
0.005,0.014,0.003,0,0,0
0.011,0.014,0.001,0,0,0
0.011,0.013,0.002,0,0,0
0.01,0.015,0.001,0,0,0
0.009,0.015,0.002,0,0,0
0.01,0.013,0.003,0,0,0
0.009,0.014,0.003,0,0,0
0.015,0.014,0.001,0,0,0
0.015,0.013,0.002,0,0,0
0.014,0.015,0.001,0,0,0
0.013,0.015,0.002,0,0,0
0.014,0.013,0.003,0,0,0
0.013,0.014,0.003,0,0,0
0.019,0.014,0.001,0,0,0
0.019,0.013,0.002,0,0,0
0.018,0.015,0.001,0,0,0
0.017,0.015,0.002,0,0,0
0.018,0.013,0.003,0,0,0
0.017,0.014,0.003,0,0,0
0.023,0.014,0.001,0,0,0
0.023,0.013,0.002,0,0,0
0.022,0.015,0.001,0,0,0
0.021,0.015,0.002,0,0,0
0.022,0.013,0.003,0,0,0
0.021,0.014,0.003,0,0,0
0.027,0.014,0.001,0,0,0
0.027,0.013,0.002,0,0,0
0.026,0.015,0.001,0,0,0
0.025,0.015,0.002,0,0,0
0.026,0.013,0.003,0,0,0
0.025,0.014,0.003,0,0,0
0.031,0.014,0.001,0,0,0
0.031,0.013,0.002,0,0,0
0.03,0.015,0.001,0,0,0
0.029,0.015,0.002,0,0,0
0.03,0.013,0.003,0,0,0
0.029,0.014,0.003,0,0,0
0.035,0.014,0.001,0,0,0
0.035,0.013,0.002,0,0,0
0.034,0.015,0.001,0,0,0
0.033,0.015,0.002,0,0,0
0.034,0.013,0.003,0,0,0
0.033,0.014,0.003,0,0,0
0.039,0.014,0.001,0,0,0
0.039,0.013,0.002,0,0,0
0.038,0.015,0.001,0,0,0
0.037,0.015,0.002,0,0,0
0.038,0.013,0.003,0,0,0
0.037,0.014,0.003,0,0,0
0.003,0.018,0.001,0,0,0
0.003,0.017,0.002,0,0,0
0.002,0.019,0.001,0,0,0
0.001,0.019,0.002,0,0,0
0.002,0.017,0.003,0,0,0
0.001,0.018,0.003,0,0,0
0.007,0.018,0.001,0,0,0
0.007,0.017,0.002,0,0,0
0.006,0.019,0.001,0,0,0
0.005,0.019,0.002,0,0,0
0.006,0.017,0.003,0,0,0
0.005,0.018,0.003,0,0,0
0.011,0.018,0.001,0,0,0
0.011,0.017,0.002,0,0,0
0.01,0.019,0.001,0,0,0
0.009,0.019,0.002,0,0,0
0.01,0.017,0.003,0,0,0
0.009,0.018,0.003,0,0,0
0.015,0.018,0.001,0,0,0
0.015,0.017,0.002,0,0,0
0.014,0.019,0.001,0,0,0
0.013,0.019,0.002,0,0,0
0.014,0.017,0.003,0,0,0
0.013,0.018,0.003,0,0,0
0.019,0.018,0.001,0,0,0
0.019,0.017,0.002,0,0,0
0.018,0.019,0.001,0,0,0
0.017,0.019,0.002,0,0,0
0.018,0.017,0.003,0,0,0
0.017,0.018,0.003,0,0,0
0.023,0.018,0.001,0,0,0
0.023,0.017,0.002,0,0,0
0.022,0.019,0.001,0,0,0
0.021,0.019,0.002,0,0,0
0.022,0.017,0.003,0,0,0
0.021,0.018,0.003,0,0,0
0.027,0.018,0.001,0,0,0
0.027,0.017,0.002,0,0,0
0.026,0.019,0.001,0,0,0
0.025,0.019,0.002,0,0,0
0.026,0.017,0.003,0,0,0
0.025,0.018,0.003,0,0,0
0.031,0.018,0.001,0,0,0
0.031,0.017,0.002,0,0,0
0.03,0.019,0.001,0,0,0
0.029,0.019,0.002,0,0,0
0.03,0.017,0.003,0,0,0
0.029,0.018,0.003,0,0,0
0.035,0.018,0.001,0,0,0
0.035,0.017,0.002,0,0,0
0.034,0.019,0.001,0,0,0
0.033,0.019,0.002,0,0,0
0.034,0.017,0.003,0,0,0
0.033,0.018,0.003,0,0,0
0.039,0.018,0.001,0,0,0
0.039,0.017,0.002,0,0,0
0.038,0.019,0.001,0,0,0
0.037,0.019,0.002,0,0,0
0.038,0.017,0.003,0,0,0
0.037,0.018,0.003,0,0,0
0.003,0.022,0.001,0,0,0
0.003,0.021,0.002,0,0,0
0.002,0.023,0.001,0,0,0
0.001,0.023,0.002,0,0,0
0.002,0.021,0.003,0,0,0
0.001,0.022,0.003,0,0,0
0.007,0.022,0.001,0,0,0
0.007,0.021,0.002,0,0,0
0.006,0.023,0.001,0,0,0
0.005,0.023,0.002,0,0,0
0.006,0.021,0.003,0,0,0
0.005,0.022,0.003,0,0,0
0.011,0.022,0.001,0,0,0
0.011,0.021,0.002,0,0,0
0.01,0.023,0.001,0,0,0
0.009,0.023,0.002,0,0,0
0.01,0.021,0.003,0,0,0
0.009,0.022,0.003,0,0,0
0.015,0.022,0.001,0,0,0
0.015,0.021,0.002,0,0,0
0.014,0.023,0.001,0,0,0
0.013,0.023,0.002,0,0,0
0.014,0.021,0.003,0,0,0
0.013,0.022,0.003,0,0,0
0.019,0.022,0.001,0,0,0
0.019,0.021,0.002,0,0,0
0.018,0.023,0.001,0,0,0
0.017,0.023,0.002,0,0,0
0.018,0.021,0.003,0,0,0
0.017,0.022,0.003,0,0,0
0.023,0.022,0.001,0,0,0
0.023,0.021,0.002,0,0,0
0.022,0.023,0.001,0,0,0
0.021,0.023,0.002,0,0,0
0.022,0.021,0.003,0,0,0
0.021,0.022,0.003,0,0,0
0.027,0.022,0.001,0,0,0
0.027,0.021,0.002,0,0,0
0.026,0.023,0.001,0,0,0
0.025,0.023,0.002,0,0,0
0.026,0.021,0.003,0,0,0
0.025,0.022,0.003,0,0,0
0.031,0.022,0.001,0,0,0
0.031,0.021,0.002,0,0,0
0.03,0.023,0.001,0,0,0
0.029,0.023,0.002,0,0,0
0.03,0.021,0.003,0,0,0
0.029,0.022,0.003,0,0,0
0.035,0.022,0.001,0,0,0
0.035,0.021,0.002,0,0,0
0.034,0.023,0.001,0,0,0
0.033,0.023,0.002,0,0,0
0.034,0.021,0.003,0,0,0
0.033,0.022,0.003,0,0,0
0.039,0.022,0.001,0,0,0
0.039,0.021,0.002,0,0,0
0.038,0.023,0.001,0,0,0
0.037,0.023,0.002,0,0,0
0.038,0.021,0.003,0,0,0
0.037,0.022,0.003,0,0,0
0.003,0.026,0.001,0,0,0
0.003,0.025,0.002,0,0,0
0.002,0.027,0.001,0,0,0
0.001,0.027,0.002,0,0,0
0.002,0.025,0.003,0,0,0
0.001,0.026,0.003,0,0,0
0.007,0.026,0.001,0,0,0
0.007,0.025,0.002,0,0,0
0.006,0.027,0.001,0,0,0
0.005,0.027,0.002,0,0,0
0.006,0.025,0.003,0,0,0
0.005,0.026,0.003,0,0,0
0.011,0.026,0.001,0,0,0
0.011,0.025,0.002,0,0,0
0.01,0.027,0.001,0,0,0
0.009,0.027,0.002,0,0,0
0.01,0.025,0.003,0,0,0
0.009,0.026,0.003,0,0,0
0.015,0.026,0.001,0,0,0
0.015,0.025,0.002,0,0,0
0.014,0.027,0.001,0,0,0
0.013,0.027,0.002,0,0,0
0.014,0.025,0.003,0,0,0
0.013,0.026,0.003,0,0,0
0.019,0.026,0.001,0,0,0
0.019,0.025,0.002,0,0,0
0.018,0.027,0.001,0,0,0
0.017,0.027,0.002,0,0,0
0.018,0.025,0.003,0,0,0
0.017,0.026,0.003,0,0,0
0.023,0.026,0.001,0,0,0
0.023,0.025,0.002,0,0,0
0.022,0.027,0.001,0,0,0
0.021,0.027,0.002,0,0,0
0.022,0.025,0.003,0,0,0
0.021,0.026,0.003,0,0,0
0.027,0.026,0.001,0,0,0
0.027,0.025,0.002,0,0,0
0.026,0.027,0.001,0,0,0
0.025,0.027,0.002,0,0,0
0.026,0.025,0.003,0,0,0
0.025,0.026,0.003,0,0,0
0.031,0.026,0.001,0,0,0
0.031,0.025,0.002,0,0,0
0.03,0.027,0.001,0,0,0
0.029,0.027,0.002,0,0,0
0.03,0.025,0.003,0,0,0
0.029,0.026,0.003,0,0,0
0.035,0.026,0.001,0,0,0
0.035,0.025,0.002,0,0,0
0.034,0.027,0.001,0,0,0
0.033,0.027,0.002,0,0,0
0.034,0.025,0.003,0,0,0
0.033,0.026,0.003,0,0,0
0.039,0.026,0.001,0,0,0
0.039,0.025,0.002,0,0,0
0.038,0.027,0.001,0,0,0
0.037,0.027,0.002,0,0,0
0.038,0.025,0.003,0,0,0
0.037,0.026,0.003,0,0,0
0.003,0.03,0.001,0,0,0
0.003,0.029,0.002,0,0,0
0.002,0.031,0.001,0,0,0
0.001,0.031,0.002,0,0,0
0.002,0.029,0.003,0,0,0
0.001,0.03,0.003,0,0,0
0.007,0.03,0.001,0,0,0
0.007,0.029,0.002,0,0,0
0.006,0.031,0.001,0,0,0
0.005,0.031,0.002,0,0,0
0.006,0.029,0.003,0,0,0
0.005,0.03,0.003,0,0,0
0.011,0.03,0.001,0,0,0
0.011,0.029,0.002,0,0,0
0.01,0.031,0.001,0,0,0
0.009,0.031,0.002,0,0,0
0.01,0.029,0.003,0,0,0
0.009,0.03,0.003,0,0,0
0.015,0.03,0.001,0,0,0
0.015,0.029,0.002,0,0,0
0.014,0.031,0.001,0,0,0
0.013,0.031,0.002,0,0,0
0.014,0.029,0.003,0,0,0
0.013,0.03,0.003,0,0,0
0.019,0.03,0.001,0,0,0
0.019,0.029,0.002,0,0,0
0.018,0.031,0.001,0,0,0
0.017,0.031,0.002,0,0,0
0.018,0.029,0.003,0,0,0
0.017,0.03,0.003,0,0,0
0.023,0.03,0.001,0,0,0
0.023,0.029,0.002,0,0,0
0.022,0.031,0.001,0,0,0
0.021,0.031,0.002,0,0,0
0.022,0.029,0.003,0,0,0
0.021,0.03,0.003,0,0,0
0.027,0.03,0.001,0,0,0
0.027,0.029,0.002,0,0,0
0.026,0.031,0.001,0,0,0
0.025,0.031,0.002,0,0,0
0.026,0.029,0.003,0,0,0
0.025,0.03,0.003,0,0,0
0.031,0.03,0.001,0,0,0
0.031,0.029,0.002,0,0,0
0.03,0.031,0.001,0,0,0
0.029,0.031,0.002,0,0,0
0.03,0.029,0.003,0,0,0
0.029,0.03,0.003,0,0,0
0.035,0.03,0.001,0,0,0
0.035,0.029,0.002,0,0,0
0.034,0.031,0.001,0,0,0
0.033,0.031,0.002,0,0,0
0.034,0.029,0.003,0,0,0
0.033,0.03,0.003,0,0,0
0.039,0.03,0.001,0,0,0
0.039,0.029,0.002,0,0,0
0.038,0.031,0.001,0,0,0
0.037,0.031,0.002,0,0,0
0.038,0.029,0.003,0,0,0
0.037,0.03,0.003,0,0,0
0.003,0.034,0.001,0,0,0
0.003,0.033,0.002,0,0,0
0.002,0.035,0.001,0,0,0
0.001,0.035,0.002,0,0,0
0.002,0.033,0.003,0,0,0
0.001,0.034,0.003,0,0,0
0.007,0.034,0.001,0,0,0
0.007,0.033,0.002,0,0,0
0.006,0.035,0.001,0,0,0
0.005,0.035,0.002,0,0,0
0.006,0.033,0.003,0,0,0
0.005,0.034,0.003,0,0,0
0.011,0.034,0.001,0,0,0
0.011,0.033,0.002,0,0,0
0.01,0.035,0.001,0,0,0
0.009,0.035,0.002,0,0,0
0.01,0.033,0.003,0,0,0
0.009,0.034,0.003,0,0,0
0.015,0.034,0.001,0,0,0
0.015,0.033,0.002,0,0,0
0.014,0.035,0.001,0,0,0
0.013,0.035,0.002,0,0,0
0.014,0.033,0.003,0,0,0
0.013,0.034,0.003,0,0,0
0.019,0.034,0.001,0,0,0
0.019,0.033,0.002,0,0,0
0.018,0.035,0.001,0,0,0
0.017,0.035,0.002,0,0,0
0.018,0.033,0.003,0,0,0
0.017,0.034,0.003,0,0,0
0.023,0.034,0.001,0,0,0
0.023,0.033,0.002,0,0,0
0.022,0.035,0.001,0,0,0
0.021,0.035,0.002,0,0,0
0.022,0.033,0.003,0,0,0
0.021,0.034,0.003,0,0,0
0.027,0.034,0.001,0,0,0
0.027,0.033,0.002,0,0,0
0.026,0.035,0.001,0,0,0
0.025,0.035,0.002,0,0,0
0.026,0.033,0.003,0,0,0
0.025,0.034,0.003,0,0,0
0.031,0.034,0.001,0,0,0
0.031,0.033,0.002,0,0,0
0.03,0.035,0.001,0,0,0
0.029,0.035,0.002,0,0,0
0.03,0.033,0.003,0,0,0
0.029,0.034,0.003,0,0,0
0.035,0.034,0.001,0,0,0
0.035,0.033,0.002,0,0,0
0.034,0.035,0.001,0,0,0
0.033,0.035,0.002,0,0,0
0.034,0.033,0.003,0,0,0
0.033,0.034,0.003,0,0,0
0.039,0.034,0.001,0,0,0
0.039,0.033,0.002,0,0,0
0.038,0.035,0.001,0,0,0
0.037,0.035,0.002,0,0,0
0.038,0.033,0.003,0,0,0
0.037,0.034,0.003,0,0,0
0.003,0.038,0.001,0,0,0
0.003,0.037,0.002,0,0,0
0.002,0.039,0.001,0,0,0
0.001,0.039,0.002,0,0,0
0.002,0.037,0.003,0,0,0
0.001,0.038,0.003,0,0,0
0.007,0.038,0.001,0,0,0
0.007,0.037,0.002,0,0,0
0.006,0.039,0.001,0,0,0
0.005,0.039,0.002,0,0,0
0.006,0.037,0.003,0,0,0
0.005,0.038,0.003,0,0,0
0.011,0.038,0.001,0,0,0
0.011,0.037,0.002,0,0,0
0.01,0.039,0.001,0,0,0
0.009,0.039,0.002,0,0,0
0.01,0.037,0.003,0,0,0
0.009,0.038,0.003,0,0,0
0.015,0.038,0.001,0,0,0
0.015,0.037,0.002,0,0,0
0.014,0.039,0.001,0,0,0
0.013,0.039,0.002,0,0,0
0.014,0.037,0.003,0,0,0
0.013,0.038,0.003,0,0,0
0.019,0.038,0.001,0,0,0
0.019,0.037,0.002,0,0,0
0.018,0.039,0.001,0,0,0
0.017,0.039,0.002,0,0,0
0.018,0.037,0.003,0,0,0
0.017,0.038,0.003,0,0,0
0.023,0.038,0.001,0,0,0
0.023,0.037,0.002,0,0,0
0.022,0.039,0.001,0,0,0
0.021,0.039,0.002,0,0,0
0.022,0.037,0.003,0,0,0
0.021,0.038,0.003,0,0,0
0.027,0.038,0.001,0,0,0
0.027,0.037,0.002,0,0,0
0.026,0.039,0.001,0,0,0
0.025,0.039,0.002,0,0,0
0.026,0.037,0.003,0,0,0
0.025,0.038,0.003,0,0,0
0.031,0.038,0.001,0,0,0
0.031,0.037,0.002,0,0,0
0.03,0.039,0.001,0,0,0
0.029,0.039,0.002,0,0,0
0.03,0.037,0.003,0,0,0
0.029,0.038,0.003,0,0,0
0.035,0.038,0.001,0,0,0
0.035,0.037,0.002,0,0,0
0.034,0.039,0.001,0,0,0
0.033,0.039,0.002,0,0,0
0.034,0.037,0.003,0,0,0
0.033,0.038,0.003,0,0,0
0.039,0.038,0.001,0,0,0
0.039,0.037,0.002,0,0,0
0.038,0.039,0.001,0,0,0
0.037,0.039,0.002,0,0,0
0.038,0.037,0.003,0,0,0
0.037,0.038,0.003,0,0,0
0.003,0.002,0.005,0,0,0
0.003,0.001,0.006,0,0,0
0.002,0.003,0.005,0,0,0
0.001,0.003,0.006,0,0,0
0.002,0.001,0.007,0,0,0
0.001,0.002,0.007,0,0,0
0.007,0.002,0.005,0,0,0
0.007,0.001,0.006,0,0,0
0.006,0.003,0.005,0,0,0
0.005,0.003,0.006,0,0,0
0.006,0.001,0.007,0,0,0
0.005,0.002,0.007,0,0,0
0.011,0.002,0.005,0,0,0
0.011,0.001,0.006,0,0,0
0.01,0.003,0.005,0,0,0
0.009,0.003,0.006,0,0,0
0.01,0.001,0.007,0,0,0
0.009,0.002,0.007,0,0,0
0.015,0.002,0.005,0,0,0
0.015,0.001,0.006,0,0,0
0.014,0.003,0.005,0,0,0
0.013,0.003,0.006,0,0,0
0.014,0.001,0.007,0,0,0
0.013,0.002,0.007,0,0,0
0.019,0.002,0.005,0,0,0
0.019,0.001,0.006,0,0,0
0.018,0.003,0.005,0,0,0
0.017,0.003,0.006,0,0,0
0.018,0.001,0.007,0,0,0
0.017,0.002,0.007,0,0,0
0.023,0.002,0.005,0,0,0
0.023,0.001,0.006,0,0,0
0.022,0.003,0.005,0,0,0
0.021,0.003,0.006,0,0,0
0.022,0.001,0.007,0,0,0
0.021,0.002,0.007,0,0,0
0.027,0.002,0.005,0,0,0
0.027,0.001,0.006,0,0,0
0.026,0.003,0.005,0,0,0
0.025,0.003,0.006,0,0,0
0.026,0.001,0.007,0,0,0
0.025,0.002,0.007,0,0,0
0.031,0.002,0.005,0,0,0
0.031,0.001,0.006,0,0,0
0.03,0.003,0.005,0,0,0
0.029,0.003,0.006,0,0,0
0.03,0.001,0.007,0,0,0
0.029,0.002,0.007,0,0,0
0.035,0.002,0.005,0,0,0
0.035,0.001,0.006,0,0,0
0.034,0.003,0.005,0,0,0
0.033,0.003,0.006,0,0,0
0.034,0.001,0.007,0,0,0
0.033,0.002,0.007,0,0,0
0.039,0.002,0.005,0,0,0
0.039,0.001,0.006,0,0,0
0.038,0.003,0.005,0,0,0
0.037,0.003,0.006,0,0,0
0.038,0.001,0.007,0,0,0
0.037,0.002,0.007,0,0,0
0.003,0.006,0.005,0,0,0
0.003,0.005,0.006,0,0,0
0.002,0.007,0.005,0,0,0
0.001,0.007,0.006,0,0,0
0.002,0.005,0.007,0,0,0
0.001,0.006,0.007,0,0,0
0.007,0.006,0.005,0,0,0
0.007,0.005,0.006,0,0,0
0.006,0.007,0.005,0,0,0
0.005,0.007,0.006,0,0,0
0.006,0.005,0.007,0,0,0
0.005,0.006,0.007,0,0,0
0.011,0.006,0.005,0,0,0
0.011,0.005,0.006,0,0,0
0.01,0.007,0.005,0,0,0
0.009,0.007,0.006,0,0,0
0.01,0.005,0.007,0,0,0
0.009,0.006,0.007,0,0,0
0.015,0.006,0.005,0,0,0
0.015,0.005,0.006,0,0,0
0.014,0.007,0.005,0,0,0
0.013,0.007,0.006,0,0,0
0.014,0.005,0.007,0,0,0
0.013,0.006,0.007,0,0,0
0.019,0.006,0.005,0,0,0
0.019,0.005,0.006,0,0,0
0.018,0.007,0.005,0,0,0
0.017,0.007,0.006,0,0,0
0.018,0.005,0.007,0,0,0
0.017,0.006,0.007,0,0,0
0.023,0.006,0.005,0,0,0
0.023,0.005,0.006,0,0,0
0.022,0.007,0.005,0,0,0
0.021,0.007,0.006,0,0,0
0.022,0.005,0.007,0,0,0
0.021,0.006,0.007,0,0,0
0.027,0.006,0.005,0,0,0
0.027,0.005,0.006,0,0,0
0.026,0.007,0.005,0,0,0
0.025,0.007,0.006,0,0,0
0.026,0.005,0.007,0,0,0
0.025,0.006,0.007,0,0,0
0.031,0.006,0.005,0,0,0
0.031,0.005,0.006,0,0,0
0.03,0.007,0.005,0,0,0
0.029,0.007,0.006,0,0,0
0.03,0.005,0.007,0,0,0
0.029,0.006,0.007,0,0,0
0.035,0.006,0.005,0,0,0
0.035,0.005,0.006,0,0,0
0.034,0.007,0.005,0,0,0
0.033,0.007,0.006,0,0,0
0.034,0.005,0.007,0,0,0
0.033,0.006,0.007,0,0,0
0.039,0.006,0.005,0,0,0
0.039,0.005,0.006,0,0,0
0.038,0.007,0.005,0,0,0
0.037,0.007,0.006,0,0,0
0.038,0.005,0.007,0,0,0
0.037,0.006,0.007,0,0,0
0.003,0.01,0.005,0,0,0
0.003,0.009,0.006,0,0,0
0.002,0.011,0.005,0,0,0
0.001,0.011,0.006,0,0,0
0.002,0.009,0.007,0,0,0
0.001,0.01,0.007,0,0,0
0.007,0.01,0.005,0,0,0
0.007,0.009,0.006,0,0,0
0.006,0.011,0.005,0,0,0
0.005,0.011,0.006,0,0,0
0.006,0.009,0.007,0,0,0
0.005,0.01,0.007,0,0,0
0.011,0.01,0.005,0,0,0
0.011,0.009,0.006,0,0,0
0.01,0.011,0.005,0,0,0
0.009,0.011,0.006,0,0,0
0.01,0.009,0.007,0,0,0
0.009,0.01,0.007,0,0,0
0.015,0.01,0.005,0,0,0
0.015,0.009,0.006,0,0,0
0.014,0.011,0.005,0,0,0
0.013,0.011,0.006,0,0,0
0.014,0.009,0.007,0,0,0
0.013,0.01,0.007,0,0,0
0.019,0.01,0.005,0,0,0
0.019,0.009,0.006,0,0,0
0.018,0.011,0.005,0,0,0
0.017,0.011,0.006,0,0,0
0.018,0.009,0.007,0,0,0
0.017,0.01,0.007,0,0,0
0.023,0.01,0.005,0,0,0
0.023,0.009,0.006,0,0,0
0.022,0.011,0.005,0,0,0
0.021,0.011,0.006,0,0,0
0.022,0.009,0.007,0,0,0
0.021,0.01,0.007,0,0,0
0.027,0.01,0.005,0,0,0
0.027,0.009,0.006,0,0,0
0.026,0.011,0.005,0,0,0
0.025,0.011,0.006,0,0,0
0.026,0.009,0.007,0,0,0
0.025,0.01,0.007,0,0,0
0.031,0.01,0.005,0,0,0
0.031,0.009,0.006,0,0,0
0.03,0.011,0.005,0,0,0
0.029,0.011,0.006,0,0,0
0.03,0.009,0.007,0,0,0
0.029,0.01,0.007,0,0,0
0.035,0.01,0.005,0,0,0
0.035,0.009,0.006,0,0,0
0.034,0.011,0.005,0,0,0
0.033,0.011,0.006,0,0,0
0.034,0.009,0.007,0,0,0
0.033,0.01,0.007,0,0,0
0.039,0.01,0.005,0,0,0
